,Processor,Screen Size(inch),RAM(GB),Graphics Card,price EG,brand,SSD(GB),HDD(GB),Normal,link,OS,store
73,AMD Ryzen R5-3500,14.0,14,amd ryzen r5-3500,9200.0,HP,0,1000,1,https://www.rayashop.com/en/hp-245-g7-laptop-amd-ryzen-r5-3500-14-inch-1tb-4gb-ram-dos-black,1,rayashop
74,Apple M1,13.0,8,grey - mgn73ab/a,24999.0,Apple,0,512,1,https://www.rayashop.com/en/apple-macbook-air-13-laptop-m1-processor-13-inch-512gb-ssd-8gb-ram-mac-os-grey-mgn73ab-a,0,rayashop
75,Intel Core ii7-1165G,13.9,16,intel® iris® xe graphics,37949.0,Huawei,0,1000,1,https://www.rayashop.com/en/huawei-matebook-x-pro-laptop-intel-core-i7-1165g-13-9-inch-1tb-16gb-ram-intelr-irisr-xe-graphics-windows10-green,2,rayashop
76,Intel Core i7-1165G7,14.0,16,intel iris xe graphics,25999.0,HUAWEI,0,512,1,https://www.rayashop.com/en/huawei-matebook-14-laptop-intel-core-i7-1165g7-14-inch-fhd-touch-screen-512gb-ssd-16gb-ram-intel-iris-xe-graphics-windows-10-grey,2,rayashop
77,Intel Core i5-1135G7,14.0,8,intel iris xe graphics,20499.0,HUAWEI,0,512,1,https://www.rayashop.com/en/huawei-matebook-14-2021-laptop-intel-core-i5-1135g7-14-inch-512gb-8gb-ram-intel-iris-xe-graphics-windows-10-grey,2,rayashop
78,Intel Core i3-1005G1,15.0,4,intel uhd graphics,8770.0,HP,0,1000,1,https://www.rayashop.com/en/hp-250-g8-laptop-intel-core-i3-1005g1-15-6-inch-hd-1tb-4gb-ram-intel-uhd-graphics-dos-dark-ash-silver,1,rayashop
83,Intel Core i5-1035G7,15.6,4,nvidia mx110 2gb,11899.0,HP,0,1000,1,https://www.rayashop.com/en/hp-250-g7-laptop-intel-core-i5-1035g7-15-6-inch-1tb-4gb-ram-nvidia-mx110-2gb-dos-black,1,rayashop
85,Intel Core i5-11260H,15.6,16,NIVIDIA GeForce RTX 3050,20330.0,Dell,0,512,0,https://www.rayashop.com/en/dell-5511-g15-gaming-laptop-intel-core-i5-11260h-15-6-inch-fhd-512gb-ssd-16gb-ram-nividia-geforce-rtx-3050-4gb-ubuntu-black,1,rayashop
86,Intel Core i5-1135G7,13.3,8,Intel Graphic Card,18500.0,Dell,0,512,1,https://www.rayashop.com/en/dell-inspiron-7306-2-in-1-laptop-intel-core-i5-1135g7-13-3-inch-fhd-touch-screen-512gb-ssd-32gb-optane-8gb-ram-integrated-intel-graphic-card-windows-11-silver,2,rayashop
87,AMD Ryzen 7-5800H,15.6,16,AMD Radeon RX 6600M,34500.0,Lenovo,0,1000,0,https://www.rayashop.com/en/lenovo-legion-5-15ach6a-gaming-laptop-amd-ryzen-7-5800h-15-6-inch-fhd-1tb-ssd-16gb-ram-amd-radeon-rx-6600m-8gb-dos-white-with-legion-rgb-wired-gaming-mouse-black-m300,1,rayashop
88,AMD Ryzen 7-5800H,16.0,16,NIVIDIA GeForce RTX 3060,32500.0,Lenovo,0,1000,0,https://www.rayashop.com/en/lenovo-legion-5-pro-16ach6h-gaming-laptop-amd-ryzen-7-5800h-16-0-inch-wqxga-1tb-ssd-16gb-ram-nividia-geforce-rtx-3060-6gb-dos-grey,1,rayashop
89,Intel Core i7-1165G7,15.6,8,NIVIDIA GeForce MX450,16400.0,Lenovo,0,1000,1,https://www.rayashop.com/en/lenovo-ideapad-3-15itl6-laptop-intel-core-i7-1165g7-15-6-inch-fhd-1tb-hdd-8gb-ram-nividia-geforce-mx450-2gb-dos-grey,1,rayashop
90,Intel Core i7-1165G7,15.6,8,NIVIDIA GeForce MX450,16400.0,Lenovo,0,1000,1,https://www.rayashop.com/en/lenovo-ideapad-3-15itl6-laptop-intel-core-i7-1165g7-15-6-inch-fhd-1tb-hdd-8gb-ram-nividia-geforce-mx450-2gb-dos-blue,1,rayashop
91,AMD Ryzen 7-3700U,15.6,8,AMD Radoen Vega 10 Graphics,12990.0,Lenovo,0,512,1,https://www.rayashop.com/en/lenovo-ideapad-3-15ada6-laptop-amd-ryzen-7-3700u-15-6-inch-fhd-512-gb-ssd-8gb-ram-amd-radoen-vega-10-graphics-dos-sand,1,rayashop
92,AMD Ryzen 5-3500U,15.6,8,AMD Radoen Vega 8 Graphics,10700.0,Lenovo,0,512,1,https://www.rayashop.com/en/lenovo-ideapad-3-15ada6-laptop-amd-ryzen-5-3500u-15-6-inch-fhd-512-gb-ssd-8gb-ram-amd-radoen-vega-8-graphics-dos-sand,1,rayashop
98,Intel Core i3-1005G1,15.6,4,Intel UHD Graphics,9399.0,HP,0,1000,1,https://www.rayashop.com/en/hp-250-g8-laptop-intel-core-i3-1005g1-15-6-inch-hd-1tb-hdd-4gb-ram-integrated-intel-uhd-graphics-dos-black-457,1,rayashop
100,AMD Ryzen 5 4500U,14.0,8,amd ryzen 5 4500u,10990.0,HP,0,1000,1,https://www.rayashop.com/en/hp-probook-445-g7-laptop-amd-ryzen-5-4500u-14-inch-hd-1tb-hdd-8gb-ram-integrated-amd-radeon-graphics-dos-silver,1,rayashop
101,AMD Ryzen 7 4700U,15.6,8,amd ryzen 7 4700u,15888.0,Lenovo,512,0,1,https://www.rayashop.com/en/lenovo-ideapad-3-15are05-laptop-amd-ryzen-7-4700u-15-6-inch-fhd-512gb-ssd-8gb-ram-integrated-amd-radeon-graphics-windows-10-blue,2,rayashop
102,Intel Core i5-10500H,15.6,8,NVIDIA GeForce GTX 1650,15990.0,Dell,512,0,0,https://www.rayashop.com/en/catalog/product/view/id/86723/s/dell-g15-5510-e001-gaming-laptop-intel-core-i5-10500h-15-6-inch-fhd-512gb-ssd-8gb-ram-nvidia-geforce-gtx-1650-4gb-ubuntu-grey/category/270/,1,rayashop
103,Intel Core I5-10500H,15.6,8,nvidia geforce gtx 1650 4gb,16999.0,Dell,0,256,1,https://www.rayashop.com/en/dell-g15-5510-laptop-intel-core-i5-10500h-15-6-inch-full-hd-256gb-ssd-8gb-ram-nvidia-geforce-gtx-1650-4gb-windows-10-grey,2,rayashop
104,Intel Core i7-11370H,15.6,8,nvidia 4gb gtx 1650,21999.0,Lenovo,256,1000,0,https://www.rayashop.com/en/lenovo-ideapad-gaming-3-laptop-intel-core-i7-11370h-15-6-inch-fhd-1tb-256gb-8gb-ram-nvidia-4gb-gtx-1650-windows-10-black-delta,2,rayashop
106,Intel Core i7-1165G7,15.6,8,nvidia mx330 2gb,16999.0,Dell,0,1000,1,https://www.rayashop.com/en/dell-vostro-3500-laptop-intel-core-i7-1165g7-15-6-inch-full-hd-1tb-hdd-8gb-ram-nvidia-mx330-2gb-ubuntu-black-delta,1,rayashop
107,Intel Core i7-11800H,15.6,8,NVIDIA GeForce 3050 Ti,23820.0,Asus,512,0,1,https://www.rayashop.com/en/asus-fx506heb-bq229t-laptop-intel-core-i7-11800h-15-6-inch-fhd-8gb-ram-512gb-ssd-nvidia-geforce-3050-ti-4gb-windows-10-eclipse-grey,2,rayashop
108,Intel Core i7-1165G7,15.6,8,NVIDIA GeForce MX330,14560.0,Asus,512,0,1,https://www.rayashop.com/en/asus-x515ep-bq254t-laptop-intel-core-i7-1165g7-15-6-inch-fhd-512gb-ssd-8gb-ram-nvidia-geforce-mx330-2gb-windows-10-transparent-silver,2,rayashop
110,AMD Ryzen 5 4500U,15.6,8,amd ryzen 5 4500u,11999.0,Lenovo,0,512,1,https://www.rayashop.com/en/lenovo-ideapad-5-laptop-amd-ryzen-5-4500u-15-6-inch-fhd-512gb-ssd-8gb-ram-amd-radeon-graphics-windows-10-grey-ecc,2,rayashop
111,Intel Core i3-1005G1,15.6,4,2gb nvidia geforce mx130,9000.0,Lenovo,0,1000,1,https://www.rayashop.com/en/lenovo-ideapad-3-laptop-intel-core-i3-1005g1-15-6-inch-1tb-4gb-ram-2gb-nvidia-geforce-mx130-windows-10-blue-ecc,2,rayashop
112,AMD RYZEN 9 5900HX,16.0,32,amd ryzen 9 5900hx,54999.0,Lenovo,0,2000,1,https://www.rayashop.com/en/lenovo-legion-7-laptop-amd-ryzen-9-5900hx-16-inch-2tb-32gb-ram-3080-16-gb-ddr6-dos-black-ecc,1,rayashop
113,Intel Core i3-10110u,15.6,4,intel hd graphics,7799.0,Lenovo,0,1000,1,https://www.rayashop.com/en/lenovo-ideapad-3-laptop-intel-core-i3-10110u-15-6-inch-1tb-4gb-ram-intel-hd-graphics-dos-grey-ecc,1,rayashop
114,AMD Ryzen 7 5800H,15.6,16,amd ryzen 7 5800h,31999.0,Lenovo,0,512,1,https://www.rayashop.com/en/lenovo-legion-5-laptop-amd-ryzen-7-5800h-15-6-inch-fhd-512gb-16gb-ram-nvidia-rtx-3060-6gb-dos-black-ecc,1,rayashop
115,AMD Ryzen 7 5800H,15.6,16,amd ryzen 7 5800h,31499.0,Lenovo,0,1000,1,https://www.rayashop.com/en/lenovo-legion-5-laptop-amd-ryzen-7-5800h-15-6-inch-fhd-1tb-16gb-ram-nvidia-rtx-3070-8gb-dos-black-ecc,1,rayashop
116,AMD Ryzen 5 3500U,15.6,4,amd ryzen 5 3500u,8599.0,Acer,0,1000,1,https://www.rayashop.com/en/acer-aspire-3-a315-23-r43b-laptop-amd-ryzen-5-3500u-15-6-inch-1tb-4gb-ram-amd-radeon-pro-vega-8-windows-10-silver-ecc,2,rayashop
117,Intel Core I7-1065G7,15.6,8,nvidia mx 330 2gb,12999.0,Acer,128,1000,1,https://www.rayashop.com/en/acer-aspire-3-a315-57g-753y-laptop-intel-core-i7-1065g7-15-6-inch-1tb-128gb-8gb-ram-nvidia-mx-330-2gb-windows-10-black-ecc,2,rayashop
118,Intel Core I7-11800H,15.6,16,nvidia geforce rtx3060 6gb,25990.0,DELL,512,0,0,https://www.rayashop.com/en/dell-g15-5511-gaming-laptop-intel-core-i7-11800h-15-6-inch-512gb-ssd-16gb-ram-nvidia-geforce-rtx3060-6gb-dos-grey-ecc,1,rayashop
119,Intel Core I3-1115G4,15.6,4,intel hd graphics,9999.0,HP,0,256,1,https://www.rayashop.com/en/hp-250-g8-laptop-intel-core-i3-1115g4-15-6-inch-256gb-4gb-ram-intel-hd-graphics-windows-10-black-ecc,2,rayashop
120,Intel Core i7-10750,15.6,16,nvidia geforce rtx3050 ti 4gb,20777.0,MSI,256,1000,1,https://www.rayashop.com/en/msi-gf63-thin-10ud-228-laptop-intel-core-i7-10750-15-6-inch-fhd-1tb-256gb-16gb-ram-nvidia-geforce-rtx3050-ti-4gb-windows-10-black-ecc,2,rayashop
121,Intel Core i7-10750H,15.6,16,nvidia geforce rtx 3060 6 gb,25999.0,MSI,0,1000,1,https://www.rayashop.com/en/msi-gf65-thin-10ue-243-laptop-intel-core-i7-10750h-15-6-inch-fhd-1tb-16gb-ram-nvidia-geforce-rtx-3060-6-gb-windows-10-black-ecc,2,rayashop
122,Intel Core i5-10500H,15.6,8,nvidia geforce rtx 3060 6 gb,20444.0,MSI,0,512,1,https://www.rayashop.com/en/msi-gf65-thin-10ue-244-laptop-intel-core-i5-10500h-15-6-inch-fhd-512gb-8gb-ram-nvidia-geforce-rtx-3060-6-gb-windows-10-black-ecc,2,rayashop
123,AMD R7-5800HS,14.0,16,amd r7-5800hs,26999.0,ASUS,0,512,1,https://www.rayashop.com/en/asus-rog-zephyrus-g14-ga401qc-k2145t-laptop-amd-r7-5800hs-14-inch-inch-512gb-16gb-ram-nvidia-geforce-rtx-3050-4gb-windows-10-eclips-gray-ecc,2,rayashop
124,Intel® Core I7-11370H,15.6,16,nvidia geforce rtx 3050 ti 4gb,28999.0,ASUS,0,512,1,https://www.rayashop.com/en/asus-fx-516pe-hn001t-intel-core-i7-11370h-15-6-fhd-512gb-16gb-ram-nvidia-geforce-rtx-3050-ti-4gb-windows10-gray-ecc,2,rayashop
125,Intel Core I3-10110U,15.6,4,intel graphics,8200.0,ASUS,0,256,1,https://www.rayashop.com/en/asus-x509fa-br949t-laptop-intel-core-i3-10110u-15-6-inch-hd-256gb-4gb-intel-graphics-windows-10-silver-ecc,2,rayashop
127,Intel® Core I7-11370H,15.6,8,nvidia geforce rtx 3050 4gb,22999.0,ASUS,0,512,1,https://www.rayashop.com/en/asus-tuf-dash-f15-fx516pc-hn001t-intel-core-i7-11370h-15-6-fhd-512gb-8gb-ram-nvidia-geforce-rtx-3050-4gb-windows10-eclipse-gray-ecc,2,rayashop
128,AMD RYZEN R7-4800H,17.3,16,amd ryzen r7-4800h,20999.0,MSI,256,1000,1,https://www.rayashop.com/en/msi-bravo-17-a4ddr-laptop-amd-ryzen-r7-4800h-17-3-inch-1tb-with-256gb-ssd-16gb-ram-amd-radeon-rx5500m-4g-win10-black-ecc,2,rayashop
129,Intel Core I7-1165G7,14.0,8,nvidia 2gb mx330,18399.0,ASUS,0,512,1,https://www.rayashop.com/en/asus-k413ep-eb164t-laptop-intel-core-i7-1165g7-14-inch-fhd-512gb-8gb-ram-nvidia-2gb-mx330-windows-10-black-ecc,2,rayashop
130,Intel Core i3-1115G4,15.6,4,Intel UHD Graphics,9199.0,Dell,0,1000,1,https://www.rayashop.com/en/dell-vostro-3510-e0001-laptop-intel-core-i3-1115g4-15-6-inch-hd-1tb-hdd-4gb-ram-integrated-intel-uhd-graphics-ubuntu-black-ecc,1,rayashop
131,AMD Ryzen 5-4500U,15.6,8,amd ryzen 5-4500u,10336.0,MSI,0,256,1,https://www.rayashop.com/en/msi-modern-14-b4mw-laptop-amd-ryzen-5-4500u-14-inch-fhd-256gb-ssd-8gb-ram-amd-radeon-graphics-dos-dark-grey-ecc,1,rayashop
132,Intel Core i5-1135G7,15.6,8,intel iris xe,15533.0,Asus,512,0,1,https://www.rayashop.com/en/asus-expert-book-15-b1500ceae-ej0605r-laptop-intel-core-i5-1135g7-15-6-inch-fhd-512gb-ssd-8gb-ram-intel-iris-xe-windows-10-star-black,2,rayashop
133,Intel Core i3-10110U,15.6,8,intel uhd graphics 620,11177.0,Huawei,256,0,1,https://www.rayashop.com/en/huawei-matebook-d15-laptop-intel-core-i3-10110u-15-6-inch-fhd-256gb-ssd-8gb-ram-intel-uhd-graphics-620-windows-10-space-grey,2,rayashop
134,AMD Ryzen 9 5900HS,15.6,32,amd ryzen 9 5900hs,59800.0,ASUS,0,1000,1,https://www.rayashop.com/en/asus-rog-zephyrus-g15-ga503qs-hq004t-amd-ryzen-9-5900hs-15-6-qhd-1tb-32gb-ram-nvidia-geforce-rtx-3080-8gb-windows10-eclipse-gray,2,rayashop
135,Intel Core I7-11370H,15.6,16,nvidia geforce rtx 3060 6gb,27560.0,ASUS,0,512,1,https://www.rayashop.com/en/asus-tuf-dash-f15-fx516pm-hn023w-intel-core-i7-11370h-15-6-fhd-512gb-16gb-ram-nvidia-geforce-rtx-3060-6gb-windows11-eclipse-gray,2,rayashop
136,Intel Core I5-11300H,15.6,8,nvidia geforce rtx 3050 4gb,18200.0,ASUS,0,512,1,https://www.rayashop.com/en/asus-tuf-dash-f15-fx516pc-hn558t-intel-core-i5-11300h-15-6-fhd-512gb-8gb-ram-nvidia-geforce-rtx-3050-4gb-windows10-eclipse-gray,2,rayashop
137,Intel® Core I7-11370H,15.6,8,nvidia geforce rtx 3050 4gb,23920.0,ASUS,0,512,1,https://www.rayashop.com/en/asus-tuf-dash-f15-fx516pc-hn001t-intel-core-i7-11370h-15-6-fhd-512gb-8gb-ram-nvidia-geforce-rtx-3050-4gb-windows10-eclipse-gray,2,rayashop
139,Intel Core I7-11800H,15.6,16,NVIDIA GeForce RTX 3050Ti 4G,25133.0,DELL,512,0,0,https://www.rayashop.com/en/dell-g15-5511-gaming-laptop-intel-core-i7-11800h-15-6-inch-fhd-512gb-ssd-16gb-ram-nvidia-geforce-rtx-3050ti-4g-ubuntu-grey,1,rayashop
